"School.Name","County","LocaleType","Student.Teacher.Ratio","Free.Lunch"
"Auburn Mountainview High School","King","City",21.4,500
"Auburn Riverside High School","King","Rural",21.9,476
"Auburn Senior High School","King","City",19.6,844
"Audubon Elementary","King","City",19,21
"Audubon Elementary","Spokane","City",12.9,323
"Avanti High School","Thurston","City",21.3,35
"Aylen Jr High","Pierce","Suburb",21,213
"B F Day Elementary School","King","City",15.6,65
"Badger Mountain Elementary","Benton","City",20.3,142
"Bailey Gatzert Elementary School","King","City",10.7,207
"Bainbridge High School","Kitsap","Suburb",20.2,69
"Bainbridge Special Education Services","Kitsap","Suburb",NA,0
"Baker","Pierce","City",17.8,453
"Balboa Elementary","Spokane","City",16.1,124
"Ballard High School","King","City",21.1,176
"Ballou Jr High","Pierce","Suburb",20.4,217
"Barbara McClintock STEM Elementary","Franklin","Suburb",21.3,249
"Barge-Lincoln Elementary School","Yakima","City",16.5,597
"Barker Creek Community School",NA,NA,NA,NA
"Barnes Elementary","Cowlitz","Suburb",18,267
"Basin City Elem","Franklin","Rural",14.1,326
"Bates Technical College - Open Doors",NA,NA,NA,NA
"Bates Technical High School","Pierce","City",NA,0
"Battle Ground High School","Clark","Suburb",21.1,511
"Bay View Elementary","Skagit","Rural",18.1,149
"Beach Elem","Whatcom","Rural",15,8
"Beachwood Elementary School","Pierce","Suburb",17.3,54
"Beacon Avenue Elementary School","Grays Harbor","Town",18.8,152
"Beacon Hill Elementary","Cowlitz","Suburb",19.3,240
"Beacon Hill International School","King","City",14.8,169
"Bear Creek Elementary","King","Suburb",18.7,12
"Beaver Lake Middle School","King","Suburb",23.1,34
"Beaver Valley School","Chelan","Rural",17,6
"BECC","Skagit","Suburb",NA,26
"Beezley Springs Elementary","Grant","Town",NA,3
"Belfair Elementary","Mason","Rural",17.6,245
"Bell Elementary","King","Suburb",16.4,84
"Bellevue Big Picture School","King","City",14.1,38
"Bellevue High School","King","City",20.9,144
"Bellingham Family Partnership Program","Whatcom","City",NA,9
"Bellingham High School","Whatcom","City",22.8,286
"Bellingham Re-Engagement Program","Whatcom","City",NA,18
"Bemiss Elementary","Spokane","City",13.3,442
"Benge Elementary","Adams","Rural",6.6,0
"Benjamin Franklin Elementary","Clark","City",17.2,61
"Bennett Elementary School","King","City",18.4,15
"Benson Hill Elementary School","King","City",17.7,213
"Benton County Jail","Benton","City",NA,0
"Benton/Franklin Juvenile Justice Center","Benton","City",8,28
"Berney Elementary School","Walla Walla","City",19,157
"Bess Herian Elementary","Pend Oreille","Rural",13.3,64
"Bethel Elementary Learning Academy",NA,NA,NA,NA
"Bethel High School","Pierce","Suburb",25.3,571
"Bethel Middle School","Pierce","Suburb",20.2,266
"Betz Elementary","Spokane","Town",14.4,187
"Beverly Elementary","Snohomish","Suburb",18.8,209
"Beverly Park Elem at Glendale","King","Suburb",16.3,322
"Bickleton Elementary & High Schl","Klickitat","Rural",7.9,0
"Big Lake Elementary School","Skagit","Suburb",21.2,50
"Big Picture School","King","Suburb",11.8,98
"Birchwood Elementary School","Whatcom","City",16.4,204
"Birney","Pierce","City",13.9,303
"BIRTH TO 2 PRESCHOOL","Spokane","Town",NA,0
"Birth to 3 Contracts","King","City",NA,5
"Birth to Age 2","King","City",NA,3
"Birth To Three","Spokane","Rural",NA,12
"Birth to Three","Pierce","Suburb",NA,3
"Birth to Three Development Center","King","Suburb",NA,0
"Black Diamond Elementary","King","Suburb",18,76
"Black Lake Elementary","Thurston","City",17.8,136
"Blackwell Elementary","King","Suburb",20,9
"Blaine Elementary School","Whatcom","Town",18.7,190
"Blaine High School","Whatcom","Town",19.6,251
"Blaine Home Connections","Whatcom","Town",28.6,4
"Blaine Middle School","Whatcom","Town",18.9,190
"Blaine Primary School","Whatcom","Town",20,198
"Blaine Re-Engagement",NA,NA,NA,NA
"Blix Elementary","Pierce","City",15.9,363
"Blue Heron Middle School","Jefferson","Rural",14.9,163
"Blue Ridge Elementary","Walla Walla","City",10.6,267
"Boistfort Elem","Lewis","Rural",15.8,54
"Bonney Lake Elementary","Pierce","Suburb",18.7,143
"Bonney Lake High School","Pierce","Suburb",21.4,270
"Bordeaux Elementary School","Mason","Town",16.6,327
"Boston Harbor Elementary","Thurston","Rural",23.2,36
"Bothell High School","King","Suburb",22.5,242
"Bow Lake Elementary","King","Suburb",17.4,543
"Bowdish Middle School","Spokane","City",18.2,197
"Boze","Pierce","City",15.5,289
"Bremerton High School","Kitsap","City",19.1,646
"Bremerton Home Link Program","Kitsap","City",47.8,13
"Brentwood Elementary School","Spokane","Suburb",20.8,165
"Brewster Alternative School","Okanogan","Rural",34.4,17
"Brewster Elementary School","Okanogan","Rural",16.3,415
"Brewster High School","Okanogan","Rural",16.4,209
"Brewster Middle School","Okanogan","Rural",17,190
"Briarcrest Elementary","King","Suburb",18.9,158
"Briarwood Elementary","King","Suburb",17.9,67
"Bridgeport Aurora High School","Douglas","Rural",19,16
"Bridgeport Elementary","Douglas","Rural",16.1,363
"Bridgeport High School","Douglas","Rural",17.6,203
"Bridgeport Middle School","Douglas","Rural",19.6,235
"Bridges Transition","King","City",NA,36
"Brier Elementary","Snohomish","Suburb",20.4,63
"Brier Terrace Middle School","Snohomish","Suburb",21.2,156
"Brigadoon Elementary School","King","Suburb",15.9,187
"Brinnon Elementary","Jefferson","Rural",13.2,40
"Broadview Elementary","Island","Town",18.9,160
"Broadview-Thomson K-8 School","King","City",14.2,255
"Broadway Elementary","Spokane","City",15.7,313
"Broadway Learning Center","Cowlitz","City",13.1,63
"Brookdale Elementary","Pierce","Suburb",18.7,388
"Brookside Elementary","King","Suburb",20.1,70
"Brouillet Elementary","Pierce","Suburb",20.3,172
"Browne Elementary","Spokane","City",16.3,211
"Browns Point","Pierce","City",18.4,75
"Brownsville Elementary","Kitsap","Suburb",19.7,93
"Bryant","Pierce","City",18.7,195
"Bryant Center","Spokane","City",43.1,152
"Bryant Elementary School","King","City",20.2,21
"Bryn Mawr Elementary School","King","Suburb",17.6,270
"Burley Glenwood Elementary","Kitsap","Rural",19.9,214
"Burlington Edison High School","Skagit","Suburb",19.8,395
"Burlington-Edison Alternative School","Skagit","Suburb",19.8,24
"Burnt Bridge Creek Elementary Sch","Clark","City",15.6,153
"Burton Elementary School","Clark","City",15.3,244
"Butler Acres Elementary","Cowlitz","Suburb",18.4,142
"Byron Kibler Elementary School","King","Suburb",17.9,156
"C O Sorenson","King","Suburb",13.1,8
"CAM Academy","Clark","Suburb",29.3,63
"Camas Elementary","Yakima","Town",19.5,573
"Camas High School","Clark","Suburb",21.3,243
"Camas Prairie Elementary","Pierce","Suburb",16.6,234
"Camelot Elementary School","King","Suburb",15,156
"Campbell Hill Elementary School","King","Suburb",15.6,334
"Canyon Creek Elementary","Snohomish","Suburb",17.1,102
"Canyon Creek Middle School","Skamania","Rural",18.5,52
"Canyon Park Middle School","Snohomish","Suburb",21.5,122
"Canyon View Elementary School","Benton","City",20,410
"Canyon View Group Home","Douglas","Suburb",NA,3
"Cap Sante High School","Skagit","Town",30,33
"Cape Flattery Preschool","Clallam","Rural",NA,0
"Cape Horn Skye Elementary","Skamania","Rural",19.9,108
"Capital High School","Thurston","City",21.8,347
"Capt Johnston Blakely Elem Sch","Kitsap","Suburb",18.2,22
"Capt. Charles Wilkes Elem School","Kitsap","Suburb",17.3,16
"Captain Gray STEM Elementary","Franklin","Suburb",15.2,467
"Captain Strong","Clark","Suburb",19.1,238
"Carbonado Historical School 19","Pierce","Rural",15.6,48
"Career & Academic Re-engagement Center","Kitsap","City",8.5,11
"Career Academy at Truman High School","King","Suburb",32.1,55
"Career Link","King","City",NA,0
"Carl Cozier Elementary School","Whatcom","City",15,121
"Carmichael Middle School","Benton","City",21,268
"Carnation Elementary School","King","Suburb",21,66
"Carriage Crest Elementary School","King","Suburb",18.3,81
"Carrolls Elementary","Cowlitz","Rural",18.3,25
"Carson Elementary","King","Suburb",19.3,7
"Carson Elementary","Pierce","Suburb",22.7,239
"Carson Elementary","Skamania","Rural",16.4,112
"Carter Lake Elementary School","Pierce","Suburb",19.1,97
"Cascade Elementary","Douglas","Suburb",17.1,159
"Cascade Elementary","Snohomish","Suburb",19,238
"Cascade Elementary School","Benton","City",21,205
"Cascade Elementary School","Lewis","Town",17.4,216
"Cascade Elementary School","King","City",15.5,309
"Cascade High School","Chelan","Town",18.3,124
"Cascade High School","Snohomish","City",23.2,651
"Cascade Home-Link","Chelan","Town",NA,0
"Cascade K-8 Community School","King","Suburb",19.7,28
"Cascade Middle School","Skagit","Suburb",18.4,273
"Cascade Middle School","King","City",19.2,401
"Cascade Middle School","Clark","City",17,472
"Cascade Middle School","King","Suburb",14.4,430
"Cascade Middle School","Cowlitz","City",19.1,289
"Cascade Parent Partnership Program","King","City",34,19
"Cascade Ridge Elementary","King","Suburb",17.4,3
"Cascade View Elementary","Snohomish","Suburb",17.4,103
"Cascade View Elementary","King","Suburb",16.7,382
"Cascade View Elementary School","King","Town",20.7,14
"Cascadia Elementary","King","City",21.5,20
"Cascadia Elementary","Whatcom","Suburb",17.2,204
"Cascadia Technical Academy Skills Center","Clark","City",NA,0
"CASHMERE HIGH SCHOOL","Chelan","Town",20,159
"CASHMERE MIDDLE SCHOOL","Chelan","Town",17.1,169
"Castle Rock Elementary","Cowlitz","Town",18.6,255
"Castle Rock High School","Cowlitz","Town",20.6,163
"Castle Rock Middle School","Cowlitz","Town",15.3,106
"Catharine Blaine K-8 School","King","City",21.2,27
"Cathcart Elementary","Snohomish","Suburb",19.9,70
"Catlin Elementary","Cowlitz","Suburb",17.8,220
"Cavelero Mid High School","Snohomish","Suburb",21.4,276
"Cedar Heights Middle School","King","Suburb",21.4,243
"Cedar Heights Middle School","Kitsap","Suburb",21.3,240
"Cedar Park Elementary School",NA,NA,NA,NA
"Cedar River Elementary",NA,NA,NA,NA
"Cedar Valley Community School","Snohomish","Suburb",17.2,306
"Cedar Valley Elementary School","King","Suburb",14.6,166
"Cedar Way Elementary","Snohomish","Suburb",17.1,179
"Cedar Wood Elementary","Snohomish","Suburb",20.1,62
"Cedarcrest High School","King","Suburb",21.4,120
"Cedarcrest Middle School","Pierce","Suburb",19.8,260
"Cedarcrest School","Snohomish","Suburb",19.6,331
"Cedarhome Elementary School","Snohomish","Town",19.8,88
"Cedarhurst Elementary","King","Suburb",18.4,437
"Centennial Elementary Bethel","Pierce","Suburb",14.6,201
"Centennial Elementary Olympia","Thurston","Suburb",20.4,67
"Centennial Elementary School Mt Vernon","Skagit","City",16.9,406
"Centennial Middle School","Snohomish","Suburb",23.1,157
"Centennial Middle School","Spokane","City",18.4,253
"Centerville Elementary","Klickitat","Rural",16.8,27
"Central Avenue Elementary","Pierce","Suburb",17.4,315
"Central Educational Services","King","City",NA,13
"Central Elementary","Whatcom","Suburb",16,160
"Central Elementary","Snohomish","Suburb",17.1,111
"Central Elementary School","Skagit","Suburb",16.2,224
"Central Elementary School","Grays Harbor","Town",20.2,142
"Central Kitsap High School","Kitsap","City",22.3,239
"Central Kitsap Middle School","Kitsap","City",20.5,101
"Central Park Elementary","Grays Harbor","Town",17.5,57
"Central Valley Early Learning Center","Spokane","City",13.6,31
"Central Valley High School","Spokane","City",21.4,412
"Centralia High School","Lewis","Rural",20.1,572
"Centralia Middle School","Lewis","Town",18.1,349
"Chain Lake Elementary School","Snohomish","Rural",19.1,81
"Challenge Elementary","Snohomish","Suburb",22.3,25
"Challenger Elementary","King","Suburb",17.5,24
"Challenger Elementary","Snohomish","City",19.1,495
"Challenger High School","Pierce","Suburb",20,150
"Chambers Elementary","Pierce","Suburb",15.1,171
"Chambers Prairie Elementary School","Thurston","Suburb",17.6,255
"Charles Francis Adams High School","Asotin","Suburb",19.2,291
"Chase Lake Elementary","Snohomish","Suburb",14.5,181
"Chase Middle School","Spokane","City",17.9,315
"Chattaroy Elementary","Spokane","Rural",19,130
"Chauncey Davis Elementary","Pacific","Town",17.8,247
"Chautauqua Elementary","King","Rural",19.5,135
"Chehalis Middle School","Lewis","Town",21.5,285
"Chelan County Juvenile Detention Center","Chelan","City",13.3,NA
"Chelan High School","Chelan","Rural",18.3,175
"Chelan Middle School","Chelan","Rural",18.9,169
"Chelan School of Innovation","Chelan","Town",14.5,22
"Cheney High School","Spokane","Town",19.5,409
"Cheney Middle School","Spokane","Town",17.7,185
"Cheney Open Doors","Spokane","Town",NA,3
"Cherry Crest Elementary School","King","City",20.5,16
"Cherry Valley Elementary School","King","Suburb",19.1,70
"Cherrydale Elementary","Pierce","Suburb",16.4,116
"Chester Elementary School","Spokane","City",18.9,68
"Chester H Thompson Elementary","Pierce","Suburb",16.3,275
"Chewelah Alternative","Stevens","Rural",41.7,NA
"Chiawana High School","Franklin","Suburb",20.9,1290
"Chief Joseph Middle School","Benton","City",21.9,340
"Chief Kamiakin Elementary School","Yakima","Town",18,709
"Chief Kanim Middle School","King","Suburb",20.6,61
"Chief Kitsap Academy","Kitsap","Suburb",7.2,NA
"Chief Moses Middle School","Grant","Town",20.2,439
"Chief Sealth International High School","King","City",19,571
"Chief Umtuch Middle","Clark","Suburb",15.5,177
"Children First","Spokane","City",NA,20
"Children's Village","Yakima","City",NA,0
"Chimacum Creek Primary School","Jefferson","Town",19.2,112
"Chimacum Elementary School","Jefferson","Rural",16.8,102
"Chimacum High School","Jefferson","Rural",23.8,105
"Chimacum Middle School","Jefferson","Rural",17.8,85
"Chinook Elementary School","King","City",16.2,285
"Chinook Elementary School","Clark","Suburb",20,128
"Chinook Middle School","Thurston","Suburb",21.5,368
"Chinook Middle School","King","Suburb",19,96
"Chinook Middle School",NA,NA,NA,NA
"Chinook Middle School","King","Suburb",15.5,454
"Chloe Clark Elementary","Pierce","Suburb",21.2,55
"Choice","King","Suburb",5.7,NA
"CHOICE Academy","King","Suburb",NA,41
"Choice Alternative School","Mason","Town",19.4,138
"Christensen Elementary","Pierce","Suburb",18.7,352
"CHS Drop-Out Reengagement Program","Pierce","Suburb",NA,0
"Clallam Bay High & Elementary","Clallam","Rural",10.8,60
"Clallam Co Juvenile Detention","Clallam","Town",NA,7
"Clark County Juvenile Detention School","Clark","City",NA,0
"Clark Elementary","King","Suburb",17,105
"Cle Elum Roslyn Elementary","Kittitas","Town",16.6,162
"Cle Elum Roslyn High School","Kittitas","Town",18,81
"Clear Creek Elementary School","Kitsap","City",16.5,140
"Clear Lake Elementary School","Skagit","Suburb",18,100
"Cleveland High School STEM","King","City",19.9,385
"CLIP","King","Suburb",21.2,15
"Clover Creek Elementary","Pierce","Suburb",17.2,206
"Clover Park Early Learning Program","Pierce","City",NA,10
"Clover Park High School","Pierce","City",19.3,849
"Clovis Point","Douglas","Suburb",18.9,338
"Clyde Hill Elementary","King","Suburb",19.1,24
"Colbert Elementary School","Spokane","Suburb",19.7,114
"Colfax High School","Whitman","Town",18.8,62
"College Place Elementary","Snohomish","Suburb",15.6,314
"College Place High School","Walla Walla","Suburb",12.2,85
"College Place Middle School","Snohomish","Suburb",17.8,184
"Collins Elementary","Pierce","Suburb",17.3,185
"Colton School","Whitman","Rural",11.8,32
"Columbia Alternative School","Stevens","Rural",NA,NA
"Columbia Basin Technical Skills Center","Grant","Town",0.1,NA
"Columbia Crest A-STEM Academy","Pierce","Rural",16.4,68
"Columbia Elementary","Walla Walla","Rural",16.6,172
"Columbia Elementary","Snohomish","Suburb",17.5,127
"Columbia Elementary School","Chelan","City",15.6,391
"Columbia Elementary School","Whatcom","City",19.7,49
"Columbia Heights Elementary","Cowlitz","City",17.3,167
"Columbia High And Elementary","Stevens","Rural",11.7,105
"Columbia High School","Walla Walla","Rural",21.9,96
"Columbia High School","Klickitat","Rural",19.7,132
"Columbia Junior High School","Pierce","Suburb",20.2,185
"Columbia Middle School","Walla Walla","Rural",15.7,87
"Columbia Ridge Elementary","Grant","Rural",17,261
"Columbia River Gorge Elementary School",NA,NA,NA,NA
"Columbia River High","Clark","Suburb",21.7,278
"Columbia Valley Elementary","Clark","City",18,177
"Columbia Valley Garden Elem Schl","Cowlitz","City",18.9,242
"Columbia Virtual Academy","Stevens","Rural",35.8,3
"Columbia Virtual Academy - Kettle Falls","Stevens","Rural",43.4,33
"Columbia Virtual Academy - Sultan","Snohomish","Town",NA,11
"Columbia Virtual Academy-Orient","Ferry","Rural",44.9,4
"Colville Junior High School","Stevens","Town",19,162
"Colville Senior High School","Stevens","Town",20.2,198
"Comm Based Trans Program","Pierce","City",15.7,30
"Community School","King","Suburb",20.6,3
"Computer Academy Toppenish High School","Yakima","Town",23.4,142
"Concord International School","King","City",14,233
"Concrete Elementary","Skagit","Rural",15.7,172
"Concrete High School","Skagit","Rural",20.3,134
"Connections Academy",NA,NA,NA,NA
"Connell Elem","Franklin","Rural",17.4,376
"Connell High School","Franklin","Rural",20.4,366
"Connell Preschool","Franklin","Rural",28.9,19
"Continuous Curriculum School","Spokane","City",17.8,85
"Contract Learning Center","Yakima","Town",50,39
"Contracted Schools","Snohomish","Suburb",NA,46
"Contractual Schools","King","City",NA,3
"Conway School","Skagit","Rural",19.1,87
"Cooper Elementary","Spokane","City",14.7,353
"Cordata Elementary School","Whatcom","City",14.1,226
"Cosmopolis Elementary School","Grays Harbor","Town",14.2,66
"Cottage Lake Elementary","King","Suburb",18.9,35
"Cottonwood Elementary","Benton","Suburb",23.1,79
"Cottonwood Elementary School","Kitsap","Suburb",16.9,127
"Cottonwood Elementary School","Yakima","Suburb",18.1,112
"Cougar Creek Elementary School","Snohomish","Rural",18.1,116
"Cougar Mountain Middle School","Pierce","Suburb",19.6,204
"Cougar Ridge Elementary","King","City",17.9,4
"Cougar Valley Elementary","Kitsap","Rural",17.8,105
"Coulee City Elementary","Grant","Rural",10.5,36
"Coulee City MS","Grant","Rural",NA,0
"Coupeville Elementary School","Island","Rural",16.1,116
"Coupeville High School","Island","Rural",19.1,83
"Coupeville Middle School","Island","Rural",20.7,54
"Covington Elementary School","King","Suburb",18.2,204
"Covington Middle School","Clark","Suburb",17.4,522
"Coweeman Middle School","Cowlitz","Suburb",20.1,230
"Cowlitz County Youth Services Center","Cowlitz","City",NA,NA
"Cowlitz Prairie Academy","Lewis","Rural",NA,26
"CPSD Open Doors Program","Pierce","City",40,84
"CRCC-Open Doors",NA,NA,NA,NA
"Creekside Elementary","King","Suburb",20.2,15
"Crescent Harbor Elem","Island","Town",17.2,174
"Crescent Heights","Pierce","City",18.9,146
"Crescent School","Clallam","Rural",10.9,87
"Crestline Elementary School","Clark","City",13.9,291
"Creston Elementary","Lincoln","Rural",5.9,12
"Creston Jr-Sr High School","Lincoln","Rural",8.3,13
"Crestwood Elementary","Pierce","Suburb",18.9,100
"Crestwood Elementary School","King","Suburb",19.2,103
"Crossroads Community School","Jefferson","Rural",10,3
"Crossroads High School","Snohomish","Town",12.8,90
"Crownhill Elementary School","Kitsap","City",17.2,248
"Crystal Springs Elementary","Snohomish","Suburb",18.9,125
"Curlew Elem & High School","Ferry","Rural",10.6,76
"Curlew Parent Partner","Ferry","Rural",NA,0
"Curtis Junior High","Pierce","Suburb",22.2,272
"Curtis Senior High","Pierce","Suburb",22.7,400
"Cusick Jr Sr High School","Pend Oreille","Rural",13.5,86
"Custer Elem","Whatcom","Rural",19.3,147
"Custer Elementary School","Pierce","City",15,252
"CVA - Onalaska","Lewis","Rural",58.5,7
"CVA-Lopez Island","San Juan","Rural",NA,3
"CVSD Open Doors Programs","Lewis","Rural",NA,3
"Daffodil Valley Elementary","Pierce","Suburb",17,275
"Dallesport Elementary","Klickitat","Rural",18.7,72
"Damman Elementary","Kittitas","Rural",20,0
"Daniel Bagley Elementary School","King","City",16.4,41
"Darrington Elementary School","Snohomish","Rural",16.9,152
"Darrington Sr High School","Snohomish","Rural",12.2,62
"Davenport Elementary","Lincoln","Rural",15.1,125
"Davenport Senior High School","Lincoln","Rural",17.2,122
"David T. Denny International Middle School","King","City",16.4,478
"David Wolfle Elementary","Kitsap","Rural",15.5,164
"Davis Elementary","Walla Walla","Suburb",17.1,347
"Davis High School","Yakima","City",20.7,1766
"Day Reporting School","Pierce","City",8,9
"Daybreak Alternative School","Spokane","City",NA,NA
"Daybreak Middle","Clark","Suburb",14.7,164
"Daybreak Primary","Clark","Suburb",16.6,209
"Dayton Elementary School","Columbia","Town",10.6,87
"Dayton High School","Columbia","Town",11.9,59
"Dayton Middle School","Columbia","Town",NA,34
"DB Youth Services",NA,NA,NA,NA
"Dearborn Park International School","King","City",15.7,189
"Decatur Elementary","San Juan","Rural",2,NA
"Decatur Elementary School",NA,NA,NA,NA
"Decatur High School","King","Suburb",21.9,587
"Deer Park Early Learning Center","Spokane","Rural",NA,12
"Deer Park Elementary","Spokane","Rural",14.4,201
"Deer Park High School","Spokane","Rural",19.2,283
"Deer Park Home Link Program","Spokane","Town",62.4,81
"Deer Park Middle School","Spokane","Town",17.3,215
"Delong","Pierce","City",16.5,319
"Des Moines Elementary","King","Suburb",18.1,165
"Desert Hills Middle School","Benton","City",22,216
"Desert Oasis High School","Adams","Town",NA,59
"Destiny Middle School","Pierce","City",19.1,74
"Developmental Pre-School","Grant","Town",NA,NA
"Developmental Preschool","Pacific","Rural",NA,NA
"Dick Scobee Elementary School","King","City",15.6,347
"Dickinson Elementary","King","Suburb",15.3,64
"Dieringer Heights Elementary","Pierce","Suburb",19.5,62
"Dimmitt Middle School","King","Suburb",20.9,565
"Discovery","Kitsap","Suburb",22.1,120
"Discovery Elementary","Snohomish","Suburb",16.4,433
"Discovery Elementary","King","Suburb",17.4,5
"Discovery Elementary School","Pierce","Suburb",18.5,99
"Discovery High School","Cowlitz","City",51.8,139
"Discovery High School-Achieve","Cowlitz","City",NA,0
"Discovery Lab School","Yakima","City",17.7,116
"Discovery Middle School","Clark","City",16.3,398
"Discovery Primary School","Pierce","Suburb",16.5,233
"Discovery School","King","Suburb",16.4,3
"Dishman Hills High School","Spokane","City",22.8,208
"District Run Home School","Clallam","Town",21,12
"Dixie Elementary School","Walla Walla","Rural",14,25
"Dorothy Fox","Clark","Suburb",18.8,32
"Dower Elementary School","Pierce","City",14.7,218
"Downing","Pierce","City",16.1,125
"Drum Intermediate","Pierce","Suburb",19.2,200
"Dry Creek Elementary","Clallam","Rural",16.7,231
"Dunlap Elementary School","King","City",12.5,176
"Dutch Hill Elementary","Snohomish","Suburb",20.2,77
"Dwight D Eisenhower Elementary","Clark","Suburb",19.2,200
"Dynamic Family Services","King","City",NA,NA
"E Omak Elementary","Okanogan","Town",15.3,196
"Eagle Creek Elementary","Snohomish","Suburb",18.4,230
"Eagle Harbor High School","Kitsap","Suburb",22.3,7
"Eagle Peak at Pratt","Spokane","City",5.9,64
"Eagle Rock Multiage School","King","Suburb",23.7,6
"Eagleridge Elementary","Whatcom","Rural",17.6,227
"Early Childhood Center","Clark","City",NA,55
"Early Childhood Center","Snohomish","Suburb",13.7,69
"Early Childhood Center","Yakima","City",23,121
"Early Childhood Education","King","Suburb",11,6
"Early Childhood Education Center","Clark","City",NA,89
"Early Learning Center",NA,NA,NA,NA
"Early Learning Center",NA,NA,NA,NA
"Early Learning Center",NA,NA,NA,NA
"East Farms School","Spokane","Rural",16.8,224
"East Grays Harbor High School","Grays Harbor","Town",11.7,21
"East Grays Harbor Open Doors","Grays Harbor","Town",NA,0
"East Hill Elementary School","King","City",19,399
"East Olympia Elementary","Thurston","Rural",18.5,143
"East Port Orchard Elementary","Kitsap","Suburb",18.4,228
"East Ridge Elementary","King","Suburb",20.5,9
"East Valley Central Middle School","Yakima","Suburb",17.7,347
"East Valley Elementary","Yakima","Rural",17.6,301
"East Valley High School","Yakima","Suburb",19.5,347
"East Valley High School","Spokane","City",18.4,403
"East Valley Middle School","Spokane","City",NA,226
"Eastgate Elementary School","King","City",15.8,50
"Eastgate Elementary School","Benton","City",16.9,447
"Eastlake High School","King","Suburb",21.4,67
"Eastmont Columbia Virtual Academy","Douglas","Suburb",NA,0
"Eastmont Junior High","Douglas","Suburb",20.5,401
"Eastmont Senior High","Douglas","Suburb",22.1,532
"Easton School","Kittitas","Rural",10.3,68
"Easton Secondary School","Kittitas","Rural",NA,0
"Eatonville Developmental Pre-School","Pierce","Town",NA,NA
"Eatonville Elementary School","Pierce","Town",20.2,131
"Eatonville High School","Pierce","Town",21.6,184
"Eatonville Middle School","Pierce","Town",17.7,120
"ECEAP","Snohomish","Suburb",NA,6
"ECEAP","Snohomish","Suburb",NA,NA
"Echo Glen School","King","Town",12.1,116
"Echo Lake Elementary School","King","Suburb",17.6,141
"Eckstein Middle School","King","City",21,103
"Edgemont Jr High","Pierce","Suburb",22.3,133
"Edgerton Elementary","Pierce","Suburb",19.7,130
"Edison","Pierce","City",16.9,377
